hadithcollection_sahih_al_bukhari	hadithcollectionsahihalbukhari	Sahih al-Bukhari	hadithcollection-sahih-al-bukhari	Abū ‘Abd Allāh Muḥammad ibn Ismā‘īl ibn Ibrāhīm ibn al-Mughīrah ibn Bardizbah al-Ju‘fī al-Bukhārī	ara
hadithcollection_sahih_muslim	hadithcollectionsahihmuslim	Sahih Muslim	hadithcollection-sahih-muslim	Abū al-Ḥusayn ‘Asākir ad-Dīn Muslim ibn al-Ḥajjāj ibn Muslim ibn Ward ibn Kawshādh al-Qushayrī an-Naysābūrī	ara
hadithcollection_jami_at_tirmidhi	hadithcollectionjamiattirmidhi	Jāmi` at-Tirmidhī	hadithcollection-jami-at-tirmidhi	Abu `Isa Muhammad ibn `Isa at-Tirmidhi	ara
hadithcollection_sunan_al_nasa_i	hadithcollectionsunanalnasai	Sunan al-Nasā'ī	hadithcollection-sunan-al-nasa-i	Aḥmad ibn Shu`ayb ibn Alī ibn Sīnān Abū `Abd ar-Raḥmān al-Nasā'ī	ara
hadithcollection_sunan_abu_dawud	hadithcollectionsunanabudawud	Sunan Abu Dawud	hadithcollection-sunan-abu-dawud	Abu Dawud Sulaymān ibn al-Ashʿath al-Azdi as-Sijistani	ara
hadithcollection_sunan_ibn_majah	hadithcollectionsunanibnmajah	Sunan Ibn Mājah	hadithcollection-sunan-ibn-majah	Abū ʻAbdillāh Muḥammad ibn Yazīd Ibn Mājah al-Rabʻī al-Qazwīn	ara
hadithcollection_musnad_ahmad_ibn_hanbal	hadithcollectionmusnadahmadibnhanbal	Musnad Ahmad ibn Hanbal	hadithcollection-musnad-ahmad-ibn-hanbal	Ahmad bin Muhammad bin Hanbal Abu `Abd Allah al-Shaybani	ara
hadithcollection_al_muwatta_imam_malik	hadithcollectionalmuwattaimammalik	Al-Muwaṭṭaʾ Imam Mālik	hadithcollection-al-muwatta-imam-malik	Mālik ibn Anas ibn Mālik ibn Abī 'Āmir al-Asbahī	ara
hadithcollection_sunan_al_darimi	hadithcollectionsunanaldarimi	Sunan al-Darimi	hadithcollection-sunan-al-darimi	`Abd Allah ibn `Abd al-Rahman al-Darimi	ara
